Unnamed: 0;Q100;Q200;Q300;Q400;Q500;Q600;P100;P200;P300;P400;P500;P600;IK91;IK92;IK93;IK94;IK95;IK96;IK101;IK102;IK103;IK104;IK105;IK106
leiding_a_slope;-1.20E-09;-0.000000002;-1.32E-09;-4.76E-10;-8.12E-10;-1.50E-09;-4.70E-10;-7.70E-10;-1.23E-09;-1.40E-09;-1.37E-09;-2.00E-09;-1.80E-08;-3.00E-08;-2.50E-08;-2.80E-08;-1.40E-08;-1.00E-07;-1.80E-08;-2.00E-08;-5.00E-09;-3.00E-08;-3.00E-08;-2.00E-08
put_a_slope;-2.48E-05;-1.00E-05;-6.00E-06;-5.00E-06;-5.00E-06;-5.00E-04;-3.00E-04;-5.00E-06;-3.50E-04;-5.00E-06;-1.17E-05;-5.00E-06;-5.00E-06;-5.00E-06;-5.00E-06;-5.00E-06;-5.00E-06;-5.00E-06;-5.00E-06;-5.00E-06;-5.00E-06;-5.00E-06;-5.00E-06;-5.00E-06
T;30D;40D;40D;55D;35D;Niet;25D;35D;Niet;40D;50D;Niet;75D;40D;35D;30D;30D;45D;35D;35D;60D;45D;45D;50D
T_sigma;55D;45D;30D;40D;55D;40D;70D;45D;65D;15D;35D;40D;45D;45D;45D;45D;45D;45D;45D;45D;45D;45D;45D;45D
hpand;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;2.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8;5.8
hluchthappen;-3.7;-3.7;-3.7;-3.7;-3.7;-3.7;-3.7;-3.7;-3.7;-3.7;-3.7;-3.7;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9;-0.9
hverbindinghaalbuis;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;4.15;4.15;4.15;4.15;4.15;4.15;4.15;4.15;4.15;4.15;4.15;4.15
hmaaiveld;3.37;2.83;2.92;2.93;2.94;3.77;3.29;2.96;3.19;2.77;2.96;3.17;5.04;6.2;6.12;6.12;6.13;6.75;5.25;6.2;6.11;6.09;6.19;6.23
hbovenkantfilter;-0.5;-0.53;-0.52;-0.51;-0.46;-0.48;-1.02;-0.5;-0.5;-0.73;-0.69;-1.49;1.94;1.63;1.85;1.86;1.8;1.96;1.91;1.98;1.66;1.96;1.93;1.95
honderkantfilter;-5.5;-5.53;-5.52;-5.51;-5.46;-5.48;-6.02;-5.5;-5.5;-5.73;-5.69;-6.49;-2.54;-2.86;-2.63;-2.61;-2.69;-2.52;-2.57;-2.5;-2.82;-2.53;-2.55;-2.54
Qlim_bio;428;1050;410;550;580;661;525;705;706;450;400;818;351;507.6;465.3;423;423;552;262.7;507.6;465.3;437.1;451.2;423
Qpomp;500;500;500;500;500;500;500;500;500;500;500;500;288;288;288;288;288;115;288;288;288;288;288;288
corr_temp_leiding;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
test2009;;;;;;;;;;;;;254;270;264;300;300;;259;270;263;248;272;248
test2015;344;416;206;332;320;267;422;348;286;273;244;341;195;253;214;226;255;;183;238;210;249;205;248
test2021;353.4;345;237.8;346.5;324.8;147.5;315;329;289.8;247.5;220;226.3;;;;;;;;;;;;
nput;57;69;41;55;58;59;70;47;63;45;40;73;39;36;33;30;30;23;36;36;36;31;32;30
Qlim_bio_per_put;7.5;15;10;10;10;11.2;7.5;15;11.2;10;10;11.2;9;14.1;14.1;14.1;14.1;24;7.1;14.1;14.1;14.1;14.1;14.1
Qmin_inzetvolgorde20230523;2;2;2;2;2;2;2;2;2;3;2;2;2;3.5;3.5;3.5;3.5;3.2;3.2;3.5;5.5;3.5;4;3.5
Qmax_inzetvolgorde20230523;6;5;5.5;4.5;6;3;5;7.2;4.6;5.2;5;3.1;4.2;6.2;7.7;5.5;5;3.5;4.5;5;5.5;7.6;7.3;7.5
Qmin_inzetvolgorde20250219;2;2;2;2;2;2;2;2;2;2;2;2;2;3.5;3.5;3.5;3.5;3.0;3.2;3.0;5.7;3.5;3.5;3.5
Qmax_inzetvolgorde20250219;6.6;4.6;7.1;5.9;6;3.5;5.5;7.2;5.0;6.0;5.5;3.5;4.8;6.2;6.0;6.7;0.0;3.2;0.0;5.5;0.0;8.1;7.3;8.1
hverbindingvacuum;1.75;1.75;1.75;1.75;1.75;1.75;1.75;1.75;1.75;1.75;1.75;1.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75;4.75
test2015_per_put;6035087719;6028985507;5024390244;6036363636;5517241379;4525423729;6028571429;7404255319;453968254;6066666667;6.1;5014705882;5;7027777778;6484848485;7533333333;8.5;;4945945946;6611111111;6363636364;8032258065;640625;8266666667
